"stopTag","stopName","latitude","longitude","routeTags"
"3823","Steeles Ave West At Kipling Ave","43.75977","-79.58971","960,337,60"
"8008","Bay St At Albert St","43.65289","-79.38249","19"
"7813","The Queensway At South Kingsway","43.63582","-79.47305","501,508"
"4111","Yonge St At Heath St West","43.69026","-79.39504","320,97"
"9516","Skyway Ave At Dixon Rd","43.68768","-79.58655","112"
"3519","Bay St At Hagerman St","43.65418","-79.383","19"
"7837","McCaul St At Stephanie St","43.65126","-79.39007","501"
"4183","Tapscott Rd At McLevin Ave","43.80491","-79.22574","134"
"6075","Spadina Ave At Queens Quay West North Side","43.63814","-79.39201","310,510"
"2904","Progress Ave At Schick Crt","43.77442","-79.26692","43"
"1941","Pape Ave At Canning Ave","43.68243","-79.34626","100,25,322,325,81"
"2084","Sheppard Ave East At Aragon Ave","43.77943","-79.30445","385,85"
"8455","O'Connor Dr At Derwyn Rd","43.69669","-79.33472","8"
