hour,dirTag,meanSpeed
0,100_0_100A,16.755102040816325
0,100_1_100A,18.612244897959183
0,101_0_101,14.233333333333333
0,101_1_101,14.612903225806452
0,102_0_102Cpm,13.75
0,102_0_102D,20.032967032967033
0,102_1_102D,15.041237113402062
0,104_0_104,23.352941176470587
0,104_1_104,19.47945205479452
0,106_0_106,18.84375
0,107_0_107A,18.56140350877193
0,107_1_107B,12.407407407407407
0,108_0_108A,18.69047619047619
0,108_1_108A,21.395833333333332
0,109_0_109B,9.0
0,109_0_109C,13.2
0,109_1_109B,16.40625
0,109_1_109C,13.454545454545455
0,110_0_110A,15.763440860215054
0,110_0_110C,21.225806451612904
0,110_1_110A,16.945652173913043
0,110_1_110C,11.063829787234043
0,111_0_111,19.642105263157895
0,111_1_111,18.268817204301076
0,112_0_112Cp,21.97938144329897
0,113_0_113,12.402061855670103
0,113_1_113,15.319148936170214
0,115_0_115,14.813333333333333
0,115_1_115,21.92
0,116_1_116,20.34020618556701
0,118_0_118p,14.578313253012048
0,118_1_118p,18.105882352941176
0,119_0_119p,9.307692307692308
0,119_1_119p,21.347826086956523
0,11_0_11A,17.608247422680414
0,11_1_11A,14.125
0,120_0_120,14.741573033707866
0,120_1_120,18.63736263736264
0,121_0_121,6.822916666666667
0,121_1_121,8.658823529411764
0,122_0_122,16.211111111111112
0,122_1_122,22.68354430379747
0,123_0_123B,19.342105263157894
0,123_0_123C,19.076923076923077
0,123_1_123B,15.265060240963855
0,123_1_123C,18.375
0,123_1_123F,19.705882352941178
0,124_0_124Con,11.760416666666666
0,124_1_124Con,12.314606741573034
0,125_0_125,17.159420289855074
0,125_1_125,11.540229885057471
0,126_0_126Con,10.981132075471699
0,126_1_126Con,6.733333333333333
0,127_0_127,12.152941176470588
0,127_1_127,13.085365853658537
0,128_0_128,8.129032258064516
0,128_1_128,16.4
0,129_1_129A,17.7319587628866
0,12_0_12A,13.617021276595745
0,12_0_12B,14.285714285714286
0,12_0_12C,12.638297872340425
0,12_0_12D,21.846153846153847
0,12_1_12A,16.06382978723404
