"stopTag","latitude","longitude","routeTags"
"7187","43.667778","-79.42798","363,63"
"10092","43.73247","-79.31046","91"
"5305","43.76292","-79.405136","385,85,98"
"8434","43.74589","-79.50212","108"
"14047","43.69395","-79.49401","71,171"
"24524","43.73134","-79.5261","119"
"8167","43.76724","-79.23894","9"
"1172","43.65983","-79.42486","363,94,63"
"4022","43.75688","-79.34119","91"
"1960","43.75834","-79.42549","984,84,384"
"9106","43.75648","-79.48359","107"
"2805","43.72296","-79.33143","34,334"
"3529","43.67774","-79.38454","82"
"15282","43.69802","-79.42445","7,307"
"4060","43.7271","-79.58238","396,96"
"6586","43.80192","-79.23512","131"
"4307","43.71422","-79.36209","34,354,334,51,54"
"2061","43.62571","-79.47974","301,501,508"
"14220","43.64991","-79.48407","55"
"737","43.701","-79.38343","11,28"
"7761","43.74519","-79.29501","354,54"
"3299","43.68816","-79.33809","62"
"4121","43.75887","-79.42318","84,384"
"14189","43.70565","-79.39986","13"
"6491","43.81518","-79.3438","353,53"
"395","43.69895","-79.58884","45,927"
"1620","43.80162","-79.27487","21"
"9276","43.77529","-79.25297","132,133,134,169,16,38,129,9,913,130,131"
"3611","43.72704","-79.45799","47"
"10349","43.61665","-79.54606","80"
"4449","43.79425","-79.43671","353,60"
"1819","43.75144","-79.45703","984,84,384"
"5738","43.75721","-79.34118","95,395"
"8285","43.71352","-79.27095","69"
"6381","43.76531","-79.19955","354,954,54"
"14294","43.66727","-79.40378","127"
"14290_ar","43.76189","-79.41213","85"
"1858","43.70332","-79.48672","59"
"4217","43.77837","-79.22237","133,38,995,95,395"
"14207_ar","43.78062","-79.41486","960,60"
"9885","43.8054","-79.22109","131"
"8661_ar","43.74084","-79.50127","120"
"3202","43.68438","-79.33883","56"
"5891","43.66433","-79.45883","26"
"9739","43.74666","-79.5835","45,945"
"5124","43.79274","-79.42704","97"
"4002","43.70237","-79.38763","74"
"9438","43.76247","-79.47652","107"
"1690","43.6517","-79.43646","306,506"
"4591","43.64","-79.4543","80"
"7926","43.71686","-79.44103","352,109"
"8149","43.72919","-79.28081","34,334"
"14402","43.64851","-79.50569","300"
"9725","43.75865","-79.39207","78"
"8090","43.80113","-79.37096","42"
"9455","43.79493","-79.25316","131"
"987","43.64617","-79.44892","304,504"
"5528","43.76258","-79.56405","36"
"8690","43.68965","-79.49346","71"
"4343","43.80915","-79.17072","385,985,986,85,86,395"
"2171","43.75339","-79.32765","91"
"447","43.78083","-79.13137","354,38,954,85,54"
"8763","43.65143","-79.45118","506"
"14608","43.74275","-79.62295","96"
"10008","43.79634","-79.22734","385,985,85"
"15160","43.68438","-79.50397","332,32"
"3592","43.71976","-79.31468","91"
"8613","43.81538","-79.34177","353,953,53"
"1536","43.71179","-79.4304","14"
"3342","43.7949","-79.13747","85"
"24144","43.67267","-79.46777","341,89,941,989,41"
"2744","43.75413","-79.25167","354,54"
"6136","43.67709","-79.44732","312,512"
"9851","43.68324","-79.3032","306,506"
"832","43.83251","-79.2681","353,953,53"
"3309","43.73748","-79.43376","165,396,96"
"7948","43.79708","-79.22322","385,85"
"8330","43.67926","-79.29818","64"
"5533","43.78562","-79.36682","51"
"533","43.775608","-79.32094","167"
"5101","43.73343","-79.34699","162"
"8600","43.73413","-79.38159","11,162"
"15072","43.80437","-79.18989","385,985,85"
"8332","43.66939","-79.48131","189,312"
"6796_ar","43.76409","-79.57658","37,337,937"
"8612_ar","43.70872","-79.64483","52"
"4644","43.66984","-79.31812","22,322,505"
"2340","43.63988","-79.45406","80"
"24155","43.71926","-79.51662","165,396,118,119,96"
"5986","43.70452","-79.29646","23"
"873","43.69647","-79.27463","68,69,135,300,16"
"5095","43.67969","-79.53874","37,337,937"
"7531","43.74685","-79.63465","73"
"1421","43.76422","-79.33394","122"
"4768","43.78014","-79.24959","134"
"4900","43.78854","-79.40976","98"
"690","43.66911","-79.50127","79"
"8014","43.69642","-79.30904","87"
"3885","43.60375","-79.53581","110"
"1439","43.75042","-79.60708","927"
"10232","43.70501","-79.40857","61"
"1902","43.773468","-79.53161","960,60"
"9211","43.76116","-79.21968","354,954,54"
"3006","43.61711","-79.54413","80"
"4902","43.65068","-79.44278","306,505,506"
"15235","43.84231","-79.32158","17"
"14184_ar","43.65698","-79.4531","40"
"7081","43.75961","-79.18271","116"
"7132","43.66207","-79.3667","306,506"
"7383","43.76162","-79.52311","35"
"9451","43.72179","-79.23596","12"
"8988","43.68613","-79.39318","320,97"
"748","43.73605","-79.34064","162"
"7396","43.75431","-79.29822","68"
"1751","43.71133","-79.25095","20"
"4340","43.73539","-79.28005","17"
"5000","43.80747","-79.17543","385,985,85"
"24588","43.7373","-79.48453","101"
"2349","43.74785","-79.38393","11"
"3910","43.67838","-79.53848","37,337"
"23848_ar","43.77667","-79.50894","106"
"7618","43.66836","-79.43914","26"
"1552","43.81858","-79.26938","42"
"2293","43.75331","-79.24471","16,302"
"5799","43.72753","-79.51011","35,335,120"
"1619","43.61172","-79.51549","110"
"14063","43.81652","-79.22734","353,39,939"
"1416","43.64937","-79.42489","505"
"5446_IB","43.65684","-79.36485","508"
"24400","43.64027","-79.5351","300"
"6385","43.74925","-79.51052","108"
"6048","43.7761","-79.15255","354,954,54"
"3313","43.80702","-79.27057","39,339"
"560","43.73724","-79.59171","927"
"9237","43.90035","-79.30453","129"
"7486","43.75196","-79.23323","9"
"887","43.68203","-79.47709","161"
"1072","43.81847","-79.31565","17"
"23855","43.777","-79.5094","935"
"3033","43.67749","-79.37778","82"
"3737","43.727","-79.55171","118"
"6538","43.64646","-79.55967","50"
"24070","43.70443","-79.40995","332,32"
"944","43.753","-79.36077","122,115,995,996,95,395"
"9478","43.74829","-79.34656","25,325"
"4752","43.65484","-79.45974","300"
"4224","43.89081","-79.29051","129"
"3652","43.66232","-79.4721","26"
"6463","43.59581","-79.52818","301,501,508"
"1796","43.6584","-79.42416","363,63"
"1895","43.68901","-79.50042","35,335,32"
"4718","43.70429","-79.28843","67"
"1581","43.65186","-79.36588","304,503,504,508"
"5655","43.63494","-79.56566","49"
"2274","43.71214","-79.2918","67"
"14294_ar","43.66727","-79.40378","127"
"2010","43.76602","-79.28076","995,996,95,395"
"808","43.720848","-79.24197","102,9,902"
"15208","43.69198","-79.55745","45"
"10211","43.73951","-79.4236","165,396,96"
"5524","43.74053","-79.23229","9"
"3985","43.68677","-79.30845","300"
"4227","43.71881","-79.53782","165,89"
"3667","43.76977","-79.37455","385,85"
"5620","43.6317","-79.54452","123"
"5651","43.72758","-79.3514","51,54"
"23904","43.76801","-79.47158","107"
"7240","43.69168","-79.35564","8"
"3930","43.60434","-79.49351","76"
"7175","43.71327","-79.32674","100"
"9974","43.75366","-79.35743","122,95,395"
"7063","43.69871","-79.27357","113,300"
"10299","43.69667","-79.44542","332,32"
"2250","43.73529","-79.24757","12,300,302"
"8175","43.75704","-79.48107","107"
"14714","43.82556","-79.22054","133,353,953,53,939"
"9119","43.78106","-79.30888","68,324"
"7728","43.59792","-79.53099","110"
"4724","43.75489","-79.48871","341,941,41"
"4003_ar","43.703228","-79.60313","45"
"3240","43.71414","-79.30596","70"
"9845","43.69511","-79.63115","52"
"2221","43.75211","-79.29761","68"
"4240","43.81589","-79.20312","131"
"2168","43.75155","-79.62134","960,60"
"9912","43.78649","-79.1549","38"
"586","43.71276","-79.64742","52"
"6409","43.77225","-79.36393","51"
"6684","43.7434","-79.21919","102,902"
"6579","43.61205","-79.54358","15,315"
"14851","43.65009","-79.36201","365,65"
"7239","43.77553","-79.25286","132,169,302,129,130,131"
"9005","43.66746","-79.32646","31"
"10038_ar","43.83514","-79.26828","130"
"2425","43.70662","-79.30791","8"
"9394","43.71147","-79.2809","68,16"
"3871","43.7494","-79.50232","108"
"2474","43.72342","-79.49705","165,396,118,119,96"
"24323_ar","43.63852","-79.55736","300"
"8039","43.83088","-79.267166","130"
"8484","43.7223","-79.58519","46"
"6384","43.75004","-79.60937","927"
"8043","43.61663","-79.52089","15,315"
"7969","43.81447","-79.20293","131"
"3522","43.70348","-79.45223","29,329"
"5548","43.66539","-79.46871","312,40"
"9768","43.67622","-79.33007","31"
"9675","43.79383","-79.1768","905"
"2282","43.60733","-79.52092","44"
"1229","43.66471","-79.32533","31"
"5184","43.62014","-79.50412","15,315"
"4707","43.78093","-79.40983","39,339"
"5837","43.6642","-79.52175","48"
"6095","43.69635","-79.26399","20"
"8747","43.66527","-79.54544","45"
"1084","43.67206","-79.59309","112,332"
"8567","43.80067","-79.30727","17"
"5754","43.635498","-79.493","66"
"24064","43.72055","-79.33773","34,334"
"7424","43.74233","-79.22216","334,116,86"
"10275","43.82221","-79.32532","68"
"23889","43.64773","-79.38417","304,503,504,508"
"1473","43.81937","-79.32423","68,324,968"
"14250_ar","43.71567","-79.4437","109"
"3746_ar","43.77113","-79.54354","165,989"
"10216","43.79454","-79.43638","353,60"
"9961","43.66003","-79.45379","312,40"
"7093","43.61038","-79.56148","123,80"
"2763","43.73552","-79.53847","165,84,384"
"1141","43.65124","-79.47613","300"
"3300","43.6735","-79.54909","45"
"5598","43.72656","-79.33177","34,100"
"23977","43.69713","-79.49808","171,32"
"3052","43.75134","-79.37055","122,115,995,996,95,395"
"1287","43.72351","-79.44552","109"
"8089","43.62179","-79.52241","80"
"9062","43.75097","-79.22208","102,902"
"9924","43.7828","-79.20516","133,334"
"9065","43.74663","-79.28827","354,54"
"14363","43.77254","-79.47251","107"
"6393","43.65511","-79.43343","929,29,329"
"1297","43.7991","-79.3168","68,324"
"3517","43.77634","-79.15067","354,954,54"
"9731","43.73808","-79.60936","96"
"6624","43.7436","-79.35781","51"
"3946_ar","43.73129","-79.4334","109"
"5395","43.67939","-79.34004","83"
"14784","43.71728","-79.64524","52"
"6909","43.7708","-79.49852","41"
"7018","43.73108","-79.48294","341,128,41,120"
"492","43.6656","-79.39375","94"
"2134","43.71584","-79.59029","37"
"7397","43.60245","-79.53297","110"
"2532_ar","43.81488","-79.23228","134"
"2532","43.81488","-79.23228","134"
"24366","43.66567","-79.49695","55,40"
"9781","43.79078","-79.30233","17"
"5469","43.64414","-79.40283","511"
"584","43.72015","-79.64303","52"
"1732","43.72929","-79.5359","165,84"
"3634","43.69033","-79.55666","45"
"15129","43.66999","-79.29992","301,501"
"2587","43.80916","-79.3224","68,324"
"2591","43.72769","-79.38224","11"
"4682","43.73304","-79.25761","20"
"6189","43.71716","-79.53722","165,396,996,118,96"
"5535","43.66295","-79.45629","312,40"
"5702","43.70469","-79.3231","93"
"6161_ar","43.73636","-79.52931","119"
"3312","43.70691","-79.4535","14"
"2024","43.73956","-79.24563","16,302"
"2722","43.66233","-79.57665","112"
"14160_ar","43.67669","-79.35861","8"
"23850","43.77681","-79.50941","353,60"
"9321","43.65351","-79.4265","306,506"
"353","43.75812","-79.31474","995,996,95,395"
"9995","43.67066","-79.45393","168,127"
"1269","43.73516","-79.59825","36,927"
"9573","43.67353","-79.32918","31"
"3694","43.66516","-79.46127","312,40"
"14309_ar","43.71099","-79.2797","902"
"1304","43.75933","-79.42281","98"
"10206","43.68687","-79.28714","135"
"5779","43.73174","-79.61217","36,336,96"
"2025","43.74418","-79.4044","78,122,115,95,395"
"7161","43.76575","-79.30206","68"
"1185","43.74344","-79.30488","67"
"8726","43.80717","-79.17576","385,985,85"
"3440","43.80758","-79.45017","160"
"23883","43.65054","-79.37129","304,503,504,508"
"15314","43.70393","-79.45257","29,329"
"2765","43.65144","-79.4763","77"
"7656","43.76591","-79.32922","122"
"14309","43.71099","-79.2797","902"
"3581","43.72904","-79.6199","36,336"
"14950","43.63623","-79.47288","77,80"
"3465","43.6726","-79.50396","79"
"7129","43.76357","-79.24811","16,302"
"5472","43.80864","-79.20723","131"
"5167","43.69461","-79.34354","8"
"5193","43.68288","-79.46314","161"
"9047","43.68422","-79.48379","89"
"7023","43.79212","-79.39381","42"
"1499","43.63926","-79.47579","77"
"9115","43.76454","-79.5746","960,60"
"8273","43.77159","-79.36343","385,85"
"6946","43.71003","-79.26946","69"
"24156","43.71901","-79.51698","165,396,118,119,96"
"8807","43.63678","-79.46578","80"
"8051","43.70269","-79.56263","45"
"570","43.8043","-79.33571","42"
"1248","43.77169","-79.54045","960,60"
"7905","43.69795","-79.31796","91,93"
"7857","43.6818","-79.28454","12,324"
"5318","43.76858","-79.18638","116"
"9697","43.70313","-79.34626","88,325"
"24586","43.78471","-79.16865","986,86"
"9968","43.79331","-79.33114","39,339,939"
"8476","43.69641","-79.44714","332,32"
"1181","43.66386","-79.46402","341,89,189,41"
"6561","43.72547","-79.46406","47"
"344","43.7067","-79.39896","354,334"
"6793","43.67049","-79.38967","19"
"24446","43.67484","-79.42802","127"
"3322","43.68337","-79.45975","161"
"9011","43.69093","-79.57458","352,52"
"2569","43.66241","-79.44462","47"
"6400","43.75065","-79.43715","7,307,160"
"2141","43.79441","-79.23477","134"
"1239","43.7429","-79.43548","7,307,160"
"15288","43.73427","-79.45068","120"
"1737","43.59547","-79.52966","301,501,508"
"8915","43.74298","-79.48611","341,101,41"
"14189_ar","43.70565","-79.39986","13"
"14625_ar","43.68773","-79.39222","97"
"6251","43.77634","-79.51642","35,960,335,108,60,84"
"4753","43.68714","-79.51312","79"
"6115","43.70337","-79.56919","45"
"1346","43.81707","-79.30426","343,43"
"14577","43.7158","-79.30514","91,70"
"5145_ar","43.64089","-79.43685","47"
"4108","43.73567","-79.46758","184"
"4218","43.75974","-79.31622","24,324"
"2437","43.76311","-79.23727","9"
"10350","43.74382","-79.32609","91"
"1880","43.67304","-79.34254","325,304,72"
"15291","43.7343","-79.45072","160"
"2907","43.71836","-79.52321","119"
"8718","43.7956","-79.429","97"
"9116","43.70264","-79.5731","45"
"2898","43.60882","-79.54808","123,315"
"4155","43.65951","-79.36588","505"
"3678","43.67501","-79.3432","325,304,72"
"2380","43.63868","-79.40047","511"
"2850","43.80327","-79.19478","385,985,85"
"3050","43.73162","-79.43272","7,307"
"4355","43.7979","-79.31019","39,339"
"5705","43.63462","-79.56607","49"
"7283_ar","43.76462","-79.16733","86"
"24662","43.68405","-79.32305","31"
"5615","43.80286","-79.30862","17"
"10171","43.74056","-79.32449","91"
"4193","43.70724","-79.36725","88"
"14639","43.76553","-79.49754","341,41"
"2256","43.69166","-79.48926","71,171"
"3698","43.72236","-79.33237","34,334"
"6641","43.80046","-79.33456","24,39"
"5328","43.75105","-79.53445","84"
"2704","43.65841","-79.37088","505"
"8290","43.69629","-79.53249","352,52"
"1462","43.7132","-79.36698","34,56,354,334,51,54"
"2762","43.76871","-79.42678","98"
"1450","43.70171","-79.57601","45"
"6059","43.80788","-79.37593","353,53"
"3074","43.66813","-79.42026","126"
"4063","43.70143","-79.54883","37,337"
"5223","43.70175","-79.41488","14"
"4235","43.76858","-79.18586","354,954,86,54"
"1632","43.75187","-79.46692","106,107,108,84,384"
"2297","43.70618","-79.38942","74"
"8646","43.69032","-79.47398","332,32"
"7202","43.62379","-79.51454","80"
"8925","43.632","-79.56039","112"
"6721","43.63073","-79.54904","111,112,123,900,927"
"2471","43.77196","-79.25177","995,95,395"
"24192","43.83711","-79.31963","17"
"8901","43.63957","-79.45863","301,501,508"
"4141","43.76758","-79.19055","354,954,54"
"24489","43.75123","-79.58582","45,945"
"9931","43.81435","-79.25973","130"
"4481","43.67749","-79.58818","112"
"8632","43.66194","-79.35314","121,501,505,508"
"23862_ar","43.76492","-79.49086","36"
"2154","43.78771","-79.36731","51"
"6338","43.77177","-79.36713","51"
"6984","43.67034","-79.38664","300"
"1676","43.81821","-79.17505","85,86"
"971","43.66886","-79.33745","306,505,506"
"9976","43.7431","-79.58228","36,336"
"8272","43.87375","-79.25962","102"
"6716","43.67152","-79.42167","26"
"1453","43.74524","-79.31103","24,324"
"9099","43.77216","-79.46792","105,329"
"2987","43.81608","-79.3244","68,324"
"1586","43.75833","-79.34732","25,325"
"10134","43.7301","-79.3098","91"
"1740","43.67811","-79.42407","126"
"24133","43.62615","-79.47971","301,501,508"
"7385","43.659","-79.3495","301,501,304,503,72"
"465_ar","43.81974","-79.17995","86"
"5177","43.70224","-79.3779","11,28"
"8137","43.78586","-79.44583","7,307,160"
"2486","43.76418","-79.39986","98"
"3632","43.73917","-79.57993","45,945"
"9054","43.68061","-79.28706","322,503"
"14220_ar","43.64991","-79.48407","55"
"4795","43.73772","-79.42954","165,396,96"
"9772","43.65709","-79.54216","45,46"
"8294","43.74092","-79.32449","354,91,54"
"6030","43.69401","-79.3282","322,87"
"14154_ar","43.7759","-79.34695","85"
"7586","43.79673","-79.44669","160"
"1461","43.67659","-79.30907","92"
"14265","43.66244","-79.42618","63"
"9882","43.75255","-79.4017","78"
"6336","43.65264","-79.37562","301,501"
"3236","43.80108","-79.29673","39,339,939"
"7171","43.65371","-79.39396","505"
"1423","43.71514","-79.29851","24,324"
"1160","43.72871","-79.48264","341,128,41,120"
"5594","43.72551","-79.29738","67"
"6479","43.73103","-79.35086","162"
"9092","43.86503","-79.28409","129"
"270","43.72067","-79.33912","25,325,925"
"3928","43.63541","-79.56269","49"
"6281","43.71883","-79.42983","7,307"
"8561","43.73695","-79.59136","36,336"
"7204","43.68859","-79.50399","32"
